            , Datos cliente :                                                   ,   , Presupuesto  Nº :                  , 53 /2025             , 
            , "Tubo Galv sendzimir redondo, 60mm x 1,50 x 2000 "                , ud, 9.8                                ,                      , 0
            , "Tubo Galv sendzimir redondo, 60mm x 1,50 x 3000"                 , ud, 12.5                               ,                      , 0
            , "Tubo Galv sendzimir redondo, 60mm x 1,50 x 4000 "                , ud, 19.3                               , 1100                 , 21230
            , "Tubo Galv sendzimir redondo, 60mm x 1,50 x 4500"                 , ud, 22.85                              ,                      , 0
            , "Tubo Galv sendzimir redondo, 60mm x 2,00 x 5500"                 , ud, 31.4                               ,                      , 0
            , "Tubo Galv sendzimir redondo, 60mm x 2,50 x 5500"                 , ud, 29                                 ,                      , 0
            , "Tubo Galv sendzimir redondo, 76mm x 2,00 x 3000 "                , ud, 22.8                               ,                      , 0
            , "Tubo Galv sendzimir redondo, 76mm x 2,00 x 3500"                 , ud, 26.6                               ,                      , 0
            , "Tubo Galv sendzimir redondo, 90mm x 3,00 x 4500"                 , ud, 59.6                               ,                      , 0
            , "Tubo Galv caliente redondo, 60mm x 2,00 x 6000"                  , ud, 32                                 ,                      , 0
            , "Tubo Galv caliente redondo, 76mm x 2,00 x 2500"                  , ud, 19.5                               , 540                  , 10530
            , "Tubo Galv caliente redondo, 76mm x 3,00 x 4500"                  , ud, 41.5                               ,                      , 0
            , "Tubo Galv caliente redondo, 90 x 3,00 x 5500"                    , ud, 19.5                               ,                      , 0
            , Palos de 6/8 - Pino                                               , ud, 5.2                                ,                      , 0
            , Palos de 6/8 - Eucalipto x 2m                                     , ud, 4.45                               ,                      , 0
            , Palos de 6/8 - Eucalipto x 3m                                     , ud, 6.7                                ,                      , 0
            , Palos x 8/10 - Eucalipto                                          , ud, 9.5                                ,                      , 0
            , Trabajo c/ máquina (hoyo)                                         , ud, 1                                  ,                      , 0
            , Trabajo c/ máquina                                                , hr, 50                                 , 120                  , 6000
            , Trabajo c/ tractor                                                , hr, 40                                 ,                      , 0
            , Trabajo c/ camión grúa                                            , hr, 50                                 ,                      , 0
            , Desplazamiento                                                    , ud, 50                                 ,                      , 0
            , Porte  Alicante                                                   , ud, 200                                ,                      , 0
            , Porte  Murcia                                                     , ud, 200                                ,                      , 0
            , Porte  Valencia                                                   , ud, 600                                ,                      , 0
            , Mano de obra                                                      , m², 1.5                                , 38300                , 57450
            , Mano de obra                                                      , hr, 20                                 ,                      , 0
            ,                                                                   , ud,                                    ,                      , 0
            ,                                                                   ,   ,                                    ,                      , 191238.5
            , Beneficio                                                         ,   , #REF!                              ,                      , 
            ,                                                                   ,   ,                                    ,                      , 
            ,                                                                   ,   ,                                    ,                      , 
            ,                                                                   ,   ,                                    ,                      , 
            ,                                                                   ,   ,                                    ,                      , 
            , Total   m²                                                        ,   , Total   ml / m²                    ,                      , 5.03259210526316
            ,                                                                   ,   ,                                    ,                      , 
            ,                                                                   ,   , Total ml / m² :                    ,                      , 
            , Total m²:                                                         ,   ,                                    ,                      , 
            ,                                                                   ,   , Importe materiales (B.I.) ->       ,                      , 0
            ,                                                                   ,   , I.V.A. ->                          , 21%                  , 0
            ,                                                                   ,   , TOTAL PTO.  ->                     ,                      , 0
